,title,release_date,budget,revenue,runtime,rating,vote_count,language
73,Evan Almighty,6/9/2007,175000000.0,173000000.0,96.0,5.3,1151.0,English
74,Edge of Tomorrow,5/27/2014,178000000.0,370541256.0,113.0,7.6,4858.0,English
75,Waterworld,7/28/1995,175000000.0,264218220.0,135.0,5.9,992.0,English
76,G.I. Joe: The Rise of Cobra,8/4/2009,175000000.0,302469017.0,118.0,5.6,1962.0,English
77,Inside Out,6/9/2015,175000000.0,857611174.0,94.0,8.0,6560.0,English
78,The Jungle Book,4/7/2016,175000000.0,966550600.0,106.0,6.7,2892.0,English
79,Iron Man 2,4/28/2010,200000000.0,623933331.0,124.0,6.6,6849.0,English
80,Snow White and the Huntsman,5/30/2012,170000000.0,396600000.0,127.0,5.8,3118.0,English
81,Maleficent,5/28/2014,180000000.0,758539785.0,97.0,7.0,4496.0,English
82,Dawn of the Planet of the Apes,6/26/2014,170000000.0,710644566.0,130.0,7.3,4410.0,English
84,47 Ronin,12/6/2013,175000000.0,150962475.0,119.0,5.9,1326.0,English
85,Captain America: The Winter Soldier,3/20/2014,170000000.0,714766572.0,136.0,7.6,5764.0,English
86,Shrek Forever After,5/16/2010,165000000.0,752600867.0,93.0,6.0,1959.0,English
87,Tomorrowland,5/19/2015,190000000.0,209154322.0,130.0,6.2,2846.0,English
88,Big Hero 6,10/24/2014,165000000.0,652105443.0,102.0,7.8,6135.0,English
89,Wreck-It Ralph,11/1/2012,165000000.0,471222889.0,108.0,7.1,4570.0,English
90,The Polar Express,11/10/2004,165000000.0,305875730.0,100.0,6.4,1474.0,English
91,Independence Day: Resurgence,6/22/2016,165000000.0,389681935.0,120.0,4.9,2491.0,English
92,How to Train Your Dragon,3/5/2010,165000000.0,494878759.0,98.0,7.5,4227.0,English
93,Terminator 3: Rise of the Machines,7/2/2003,200000000.0,435000000.0,109.0,5.9,2143.0,English
94,Guardians of the Galaxy,7/30/2014,170000000.0,773328629.0,121.0,7.9,9742.0,English
95,Interstellar,11/5/2014,165000000.0,675120017.0,169.0,8.1,10867.0,English
96,Inception,7/14/2010,160000000.0,825532764.0,148.0,8.1,13752.0,English
97,Shin Godzilla,7/29/2016,15000000.0,77000000.0,120.0,6.5,143.0,Japanese
98,The Hobbit: An Unexpected Journey,11/26/2012,250000000.0,1021103568.0,169.0,7.0,8297.0,English
99,The Fast and the Furious,6/22/2001,38000000.0,207283925.0,106.0,6.6,3428.0,English
100,The Curious Case of Benjamin Button,11/24/2008,150000000.0,333932083.0,166.0,7.3,3292.0,English
101,X-Men: First Class,5/24/2011,160000000.0,353624124.0,132.0,7.1,5181.0,English
102,The Hunger Games: Mockingjay - Part 2,11/18/2015,160000000.0,653428261.0,137.0,6.6,3984.0,English
103,The Sorcerer's Apprentice,7/13/2010,150000000.0,215283742.0,109.0,5.8,1470.0,English
104,Poseidon,5/12/2006,160000000.0,181674817.0,99.0,5.5,583.0,English
105,Alice Through the Looking Glass,5/25/2016,170000000.0,299370084.0,113.0,6.5,1725.0,English
106,Shrek the Third,5/17/2007,160000000.0,798958165.0,93.0,6.0,2278.0,English
107,Warcraft,5/25/2016,160000000.0,433677183.0,123.0,6.3,2268.0,English
108,Terminator Genisys,6/23/2015,155000000.0,440603537.0,126.0,5.8,3631.0,English
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,8/13/2010,155000000.0,415686217.0,113.0,6.2,1514.0,English
110,Pearl Harbor,5/21/2001,140000000.0,449220945.0,183.0,6.6,1791.0,English
111,Transformers,6/27/2007,150000000.0,709709780.0,144.0,6.6,4040.0,English
112,Alexander,11/21/2004,155000000.0,167298192.0,175.0,5.6,927.0,English
113,Harry Potter and the Order of the Phoenix,6/28/2007,150000000.0,938212738.0,138.0,7.4,5494.0,English
114,Harry Potter and the Goblet of Fire,11/5/2005,150000000.0,895921036.0,157.0,7.5,5608.0,English
115,Hancock,7/1/2008,150000000.0,624029371.0,92.0,6.2,2961.0,English
116,I Am Legend,12/14/2007,150000000.0,585349010.0,101.0,6.9,4853.0,English
117,Charlie and the Chocolate Factory,7/13/2005,150000000.0,474968763.0,115.0,6.7,3624.0,English
118,Ratatouille,6/22/2007,150000000.0,623722818.0,111.0,7.5,4369.0,English
119,Batman Begins,6/10/2005,150000000.0,374218673.0,140.0,7.5,7359.0,English
120,Madagascar: Escape 2 Africa,10/30/2008,150000000.0,603900354.0,89.0,6.2,1810.0,English
121,Night at the Museum: Battle of the Smithsonian,5/20/2009,150000000.0,413106170.0,105.0,5.9,1971.0,English
122,X-Men Origins: Wolverine,4/28/2009,150000000.0,373062864.0,107.0,6.2,4021.0,English
123,The Matrix Revolutions,11/5/2003,150000000.0,424988211.0,129.0,6.4,3096.0,English
124,Frozen,11/27/2013,150000000.0,1274219009.0,102.0,7.3,5295.0,English
125,The Matrix Reloaded,5/15/2003,150000000.0,738599701.0,138.0,6.7,3443.0,English
126,Thor: The Dark World,10/29/2013,170000000.0,644571402.0,112.0,6.8,4755.0,English
127,Mad Max: Fury Road,5/13/2015,150000000.0,378858340.0,120.0,7.2,9427.0,English
128,Angels & Demons,5/13/2009,150000000.0,356613439.0,138.0,6.5,2129.0,English
129,Thor,4/21/2011,150000000.0,449326618.0,115.0,6.6,6525.0,English
130,Bolt,11/21/2008,150000000.0,309979994.0,98.0,6.3,1750.0,English
131,G-Force,7/21/2009,150000000.0,292817841.0,88.0,5.1,510.0,English
132,Wrath of the Titans,3/27/2012,150000000.0,301000000.0,99.0,5.5,1431.0,English
133,Dark Shadows,5/8/2012,150000000.0,245527149.0,113.0,5.7,2320.0,English
134,Mission: Impossible - Rogue Nation,7/23/2015,150000000.0,682330139.0,131.0,7.1,3224.0,English
136,Bee Movie,10/28/2007,150000000.0,287594577.0,91.0,5.7,1171.0,English
137,Kung Fu Panda 2,5/25/2011,150000000.0,665692281.0,91.0,6.7,1880.0,English
138,The Last Airbender,6/30/2010,150000000.0,318502923.0,103.0,4.7,1151.0,English
139,Mission: Impossible III,5/3/2006,150000000.0,397850012.0,126.0,6.5,2028.0,English
140,White House Down,6/27/2013,150000000.0,205366737.0,131.0,6.4,1891.0,English
141,Mars Needs Moms,3/9/2011,150000000.0,38992758.0,88.0,5.5,199.0,English
142,Flushed Away,10/22/2006,149000000.0,64459316.0,85.0,6.0,874.0,English
143,Pan,9/24/2015,150000000.0,128388320.0,111.0,5.9,954.0,English
144,Mr. Peabody & Sherman,2/7/2014,145000000.0,272912430.0,92.0,6.7,843.0,English
145,Troy,5/13/2004,175000000.0,497409852.0,163.0,6.9,2759.0,English
146,Madagascar 3: Europe's Most Wanted,6/6/2012,145000000.0,746921274.0,93.0,6.4,1808.0,English
147,Die Another Day,11/17/2002,140000000.0,431971116.0,133.0,5.8,1092.0,English
148,Ghostbusters,7/14/2016,144000000.0,229147509.0,116.0,5.3,2142.0,English
149,Armageddon,7/1/1998,140000000.0,553799566.0,151.0,6.4,2482.0,English
150,Men in Black II,7/3/2002,140000000.0,441818803.0,88.0,6.0,3114.0,English
151,Beowulf,11/5/2007,70000000.0,195735876.0,115.0,5.5,841.0,English
152,Kung Fu Panda 3,1/23/2016,145000000.0,521170825.0,95.0,6.7,1603.0,English
153,Mission: Impossible - Ghost Protocol,12/7/2011,145000000.0,694713380.0,133.0,6.8,3972.0,English
154,Rise of the Guardians,11/21/2012,145000000.0,306941670.0,97.0,7.1,1922.0,English
155,Fun with Dick and Jane,12/21/2005,100000000.0,202026112.0,90.0,5.9,627.0,English
156,The Last Samurai,12/5/2003,140000000.0,456758981.0,154.0,7.3,1895.0,English
157,Exodus: Gods and Kings,12/3/2014,140000000.0,268031828.0,150.0,5.6,1921.0,English
158,Star Trek,5/6/2009,150000000.0,385680446.0,127.0,7.4,4518.0,English
159,Spider-Man,5/1/2002,139000000.0,821708551.0,121.0,6.8,5265.0,English
160,How to Train Your Dragon 2,6/12/2014,145000000.0,609123048.0,102.0,7.6,3106.0,English
161,Gods of Egypt,2/25/2016,140000000.0,150680864.0,127.0,5.3,1277.0,English
162,Stealth,7/28/2005,135000000.0,76932943.0,121.0,4.9,331.0,English
163,Watchmen,3/5/2009,130000000.0,185258983.0,163.0,7.0,2811.0,English
164,Lethal Weapon 4,7/10/1998,140000000.0,285444603.0,127.0,6.3,767.0,English
165,Hulk,6/19/2003,137000000.0,245360480.0,138.0,5.3,1533.0,English
166,G.I. Joe: Retaliation,3/26/2013,130000000.0,371876278.0,110.0,5.4,3025.0,English
167,Sahara,4/6/2005,130000000.0,119269486.0,124.0,5.7,434.0,English
168,Final Fantasy: The Spirits Within,7/2/2001,137000000.0,85131830.0,106.0,5.9,433.0,English
169,Captain America: The First Avenger,7/22/2011,140000000.0,370569774.0,124.0,6.6,7047.0,English
170,The World Is Not Enough,11/8/1999,135000000.0,361832400.0,128.0,6.0,862.0,English
171,Master and Commander: The Far Side of the World,11/14/2003,150000000.0,212011111.0,138.0,6.9,790.0,English
172,The Twilight Saga: Breaking Dawn - Part 2,11/13/2012,120000000.0,829000000.0,115.0,6.1,2553.0,English
173,Happy Feet Two,11/17/2011,130000000.0,150406466.0,100.0,5.8,373.0,English
174,The Incredible Hulk,6/12/2008,150000000.0,163712074.0,114.0,6.1,3021.0,English
175,The BFG,6/1/2016,140000000.0,183345589.0,120.0,6.0,1000.0,English
176,The Revenant,12/25/2015,135000000.0,532950503.0,156.0,7.3,6396.0,English
177,Turbo,7/11/2013,135000000.0,282570682.0,96.0,6.1,1074.0,English
178,Rango,3/2/2011,135000000.0,245724603.0,107.0,6.6,2051.0,English
179,Penguins of Madagascar,11/22/2014,132000000.0,373552094.0,92.0,6.5,1346.0,English
180,The Bourne Ultimatum,8/3/2007,70000000.0,442824138.0,115.0,7.3,2888.0,English
181,Kung Fu Panda,6/4/2008,130000000.0,631744560.0,90.0,6.9,3145.0,English
182,Ant-Man,7/14/2015,130000000.0,519311965.0,117.0,7.0,5880.0,English
183,The Hunger Games: Catching Fire,11/15/2013,130000000.0,847423452.0,146.0,7.4,6495.0,English
184,Home,3/18/2015,135000000.0,368871007.0,94.0,6.8,1519.0,English
185,War of the Worlds,6/28/2005,132000000.0,591739379.0,116.0,6.2,2322.0,English
186,Bad Boys II,7/18/2003,130000000.0,273339556.0,147.0,6.3,1564.0,English
187,Puss in Boots,10/28/2011,130000000.0,554987477.0,90.0,6.4,451.0,English
188,Salt,7/21/2010,110000000.0,293329073.0,100.0,6.2,2093.0,English
189,Noah,3/20/2014,125000000.0,362637473.0,139.0,5.6,2350.0,English
190,The Adventures of Tintin,10/25/2011,130000000.0,371940071.0,107.0,6.7,2061.0,English
191,Harry Potter and the Prisoner of Azkaban,5/31/2004,130000000.0,789804554.0,141.0,7.7,5877.0,English
192,Australia,11/18/2008,130000000.0,49554002.0,165.0,6.3,694.0,English
193,After Earth,5/30/2013,130000000.0,243843127.0,100.0,5.0,2532.0,English
194,Dinosaur,5/19/2000,127500000.0,354248063.0,82.0,6.2,542.0,English
195,Night at the Museum: Secret of the Tomb,12/17/2014,127000000.0,349424282.0,97.0,6.1,1851.0,English
196,Megamind,10/28/2010,130000000.0,321887208.0,95.0,6.7,1918.0,English
197,Harry Potter and the Philosopher's Stone,11/16/2001,125000000.0,976475550.0,152.0,7.5,7006.0,English
198,R.I.P.D.,7/18/2013,130000000.0,61648500.0,96.0,5.4,1260.0,English
199,Pirates of the Caribbean: The Curse of the Black Pearl,7/9/2003,140000000.0,655011224.0,143.0,7.5,6985.0,English
200,The Hunger Games: Mockingjay - Part 1,11/18/2014,125000000.0,752100229.0,123.0,6.6,5584.0,English
201,The Da Vinci Code,5/17/2006,125000000.0,767820459.0,149.0,6.5,2704.0,English
202,Rio 2,3/19/2014,103000000.0,500188435.0,102.0,6.3,978.0,English
203,X2,4/24/2003,110000000.0,407711549.0,133.0,6.8,3506.0,English
204,Fast Five,4/20/2011,125000000.0,626137675.0,130.0,7.1,2438.0,English
205,Sherlock Holmes: A Game of Shadows,11/22/2011,125000000.0,334615000.0,129.0,7.0,3886.0,English
206,Clash of the Titans,4/1/2010,125000000.0,232713139.0,106.0,5.6,2233.0,English
207,Total Recall,6/1/1990,65000000.0,261317921.0,113.0,7.1,1710.0,English
208,The 13th Warrior,8/27/1999,160000000.0,61698899.0,102.0,6.4,510.0,English
209,The Bourne Legacy,8/8/2012,130000000.0,276572938.0,120.0,6.0,2651.0,English
210,Batman & Robin,6/20/1997,125000000.0,238207122.0,125.0,4.2,1418.0,English
211,How the Grinch Stole Christmas,11/17/2000,123000000.0,345141403.0,104.0,6.2,1386.0,English
212,The Day After Tomorrow,5/26/2004,125000000.0,544272402.0,124.0,6.2,2392.0,English
213,Mission: Impossible II,5/24/2000,125000000.0,546388105.0,123.0,5.9,1928.0,English
214,The Perfect Storm,3/15/2000,120000000.0,325756637.0,130.0,6.2,597.0,English
215,Fantastic 4: Rise of the Silver Surfer,6/13/2007,130000000.0,289047763.0,92.0,5.4,2589.0,English
216,Life of Pi,11/20/2012,120000000.0,609016565.0,127.0,7.2,5797.0,English
217,Ghost Rider,2/16/2007,110000000.0,228738393.0,114.0,5.2,1712.0,English
218,Jason Bourne,7/27/2016,120000000.0,415484914.0,123.0,5.9,2341.0,English
219,Charlie's Angels: Full Throttle,6/27/2003,120000000.0,259175788.0,106.0,5.2,914.0,English
220,Prometheus,5/30/2012,130000000.0,403170142.0,124.0,6.3,5080.0,English
221,Stuart Little 2,7/19/2002,120000000.0,169956806.0,78.0,5.4,613.0,English
222,Elysium,8/7/2013,115000000.0,286140700.0,109.0,6.4,3439.0,English
223,The Chronicles of Riddick,6/11/2004,105000000.0,115772733.0,119.0,6.3,1570.0,English
224,RoboCop,1/30/2014,120000000.0,242688965.0,102.0,5.7,2342.0,English
225,Speed Racer,5/9/2008,120000000.0,93945766.0,135.0,5.7,354.0,English
226,How Do You Know,12/17/2010,120000000.0,48668907.0,121.0,4.9,223.0,English
227,Knight and Day,6/15/2010,117000000.0,261930431.0,109.0,5.9,1547.0,English
228,Oblivion,4/10/2013,120000000.0,286168572.0,124.0,6.4,4800.0,English
229,Star Wars: Episode III - Revenge of the Sith,5/17/2005,113000000.0,850000000.0,140.0,7.1,4116.0,English
230,Star Wars: Episode II - Attack of the Clones,5/15/2002,120000000.0,649398328.0,142.0,6.4,3992.0,English
231,"Monsters, Inc.",11/1/2001,115000000.0,562816256.0,92.0,7.5,5996.0,English
232,The Wolverine,7/23/2013,120000000.0,415440673.0,126.0,6.3,4053.0,English
233,Star Wars: Episode I - The Phantom Menace,5/19/1999,115000000.0,924317558.0,136.0,6.3,4432.0,English
234,The Croods,3/20/2013,135000000.0,585178928.0,98.0,6.8,2399.0,English
235,Asterix at the Olympic Games,1/13/2008,97250400.0,132900000.0,116.0,5.0,471.0,French
236,Windtalkers,6/14/2002,115000000.0,77628265.0,134.0,5.8,341.0,English
237,The Huntsman: Winter's War,4/6/2016,115000000.0,164602163.0,114.0,6.0,1523.0,English
238,Teenage Mutant Ninja Turtles,8/7/2014,125000000.0,477200000.0,101.0,5.8,2636.0,English
239,Gravity,9/27/2013,105000000.0,716392705.0,91.0,7.3,5751.0,English
240,Dante's Peak,2/7/1997,116000000.0,178127760.0,108.0,5.7,428.0,English
241,Teenage Mutant Ninja Turtles: Out of the Shadows,6/1/2016,135000000.0,245623848.0,112.0,5.8,963.0,English
242,Fantastic Four,8/5/2015,120000000.0,167977596.0,100.0,4.4,2278.0,English
243,Night at the Museum,10/20/2006,110000000.0,574480841.0,108.0,6.3,2862.0,English
244,San Andreas,5/27/2015,110000000.0,470490832.0,114.0,6.0,2968.0,English
245,Tomorrow Never Dies,12/11/1997,110000000.0,333011068.0,119.0,6.0,925.0,English
246,The Patriot,6/28/2000,110000000.0,215294342.0,165.0,6.8,1099.0,English
247,Ocean's Twelve,12/9/2004,110000000.0,362744280.0,125.0,6.4,2124.0,English
248,Mr. & Mrs. Smith,6/7/2005,110000000.0,478207520.0,120.0,6.5,2965.0,English
249,Insurgent,3/18/2015,110000000.0,295238201.0,119.0,6.2,3829.0,English
250,The Aviator,12/17/2004,116000000.0,102000000.0,170.0,7.0,1489.0,English
251,Gulliver's Travels,12/25/2010,112000000.0,237382724.0,85.0,4.9,621.0,English
252,The Green Hornet,1/12/2011,120000000.0,227817248.0,119.0,5.5,1251.0,English
253,300: Rise of an Empire,3/5/2014,110000000.0,337580051.0,102.0,6.1,2397.0,English
254,The Smurfs,7/29/2011,110000000.0,563749323.0,103.0,5.5,1179.0,English
255,Home on the Range,4/2/2004,110000000.0,103951461.0,76.0,5.7,389.0,English
256,Allegiant,3/9/2016,110000000.0,179246868.0,121.0,5.9,1998.0,English
257,Real Steel,9/28/2011,110000000.0,299268508.0,127.0,6.6,2692.0,English
258,The Smurfs 2,7/30/2013,105000000.0,347434178.0,105.0,5.5,695.0,English
259,Speed 2: Cruise Control,6/13/1997,160000000.0,164508066.0,121.0,4.1,434.0,English
260,Ender's Game,10/23/2013,110000000.0,125537191.0,114.0,6.6,2303.0,English
261,Live Free or Die Hard,6/20/2007,110000000.0,383531464.0,128.0,6.4,2089.0,English
262,The Lord of the Rings: The Fellowship of the Ring,12/18/2001,93000000.0,871368364.0,178.0,8.0,8705.0,English
263,Around the World in 80 Days,6/16/2004,110000000.0,72178895.0,120.0,5.7,672.0,English
264,Ali,12/11/2001,107000000.0,87713825.0,157.0,6.7,447.0,English
266,"I, Robot",7/15/2004,120000000.0,347234916.0,115.0,6.7,3793.0,English
267,Kingdom of Heaven,5/3/2005,130000000.0,211643158.0,144.0,6.6,1157.0,English
268,Stuart Little,12/17/1999,133000000.0,300135367.0,84.0,5.8,959.0,English
269,The Princess and the Frog,12/8/2009,105000000.0,267045765.0,97.0,6.7,1247.0,English
270,The Martian,9/30/2015,108000000.0,630161890.0,141.0,7.6,7268.0,English
271,The Island,7/20/2005,126000000.0,162949164.0,136.0,6.5,1770.0,English
272,Town & Country,4/27/2001,90000000.0,10372291.0,104.0,3.7,16.0,English
273,Gone in Sixty Seconds,6/9/2000,90000000.0,237202299.0,118.0,6.1,1485.0,English
274,Gladiator,5/1/2000,103000000.0,457640427.0,155.0,7.9,5439.0,English
275,Minority Report,6/20/2002,102000000.0,358372926.0,145.0,7.1,2608.0,English
276,Harry Potter and the Chamber of Secrets,11/13/2002,100000000.0,876688482.0,161.0,7.4,5815.0,English
277,Casino Royale,11/14/2006,150000000.0,599045960.0,144.0,7.3,3855.0,English
278,Planet of the Apes,7/25/2001,100000000.0,362211740.0,119.0,5.6,1243.0,English
279,Terminator 2: Judgment Day,7/1/1991,100000000.0,520000000.0,137.0,7.7,4185.0,English
280,Public Enemies,7/1/2009,80000000.0,214104620.0,140.0,6.5,1344.0,English
281,American Gangster,11/2/2007,100000000.0,266465037.0,157.0,7.4,1502.0,English
282,True Lies,7/14/1994,115000000.0,378882411.0,141.0,6.8,1116.0,English
283,The Taking of Pelham 1 2 3,6/11/2009,100000000.0,150166126.0,106.0,6.2,954.0,English
284,Little Fockers,12/21/2010,100000000.0,310650585.0,98.0,5.4,1060.0,English
285,The Other Guys,8/6/2010,100000000.0,170432927.0,107.0,6.1,1383.0,English
286,Eraser,6/21/1996,100000000.0,242295562.0,115.0,5.6,543.0,English
287,Django Unchained,12/25/2012,100000000.0,425368238.0,165.0,7.8,10099.0,English
288,The Hunchback of Notre Dame,6/21/1996,100000000.0,100138851.0,91.0,6.8,1129.0,English
289,The Emperor's New Groove,12/9/2000,100000000.0,169327687.0,78.0,7.2,1490.0,English
290,The Expendables 2,8/8/2012,100000000.0,312573423.0,103.0,6.1,2896.0,English
291,National Treasure,11/19/2004,100000000.0,347451894.0,131.0,6.4,1926.0,English
292,Eragon,12/14/2006,100000000.0,249288105.0,104.0,4.9,967.0,English
293,Where the Wild Things Are,10/16/2009,100000000.0,100086793.0,101.0,6.4,572.0,English
294,Epic,5/15/2013,100000000.0,268426634.0,102.0,6.4,1121.0,English
295,The Tourist,12/8/2010,100000000.0,278731369.0,103.0,6.0,1699.0,English
296,End of Days,11/24/1999,100000000.0,211989043.0,121.0,5.5,482.0,English
297,Blood Diamond,12/7/2006,100000000.0,170877916.0,143.0,7.3,2281.0,English
298,The Wolf of Wall Street,12/25/2013,100000000.0,392000694.0,180.0,7.9,6571.0,English
299,Batman Forever,5/31/1995,100000000.0,336529144.0,121.0,5.2,1498.0,English
300,Starship Troopers,11/6/1997,105000000.0,121214377.0,129.0,6.7,1560.0,English
301,Cloud Atlas,10/26/2012,102000000.0,130482868.0,172.0,6.6,2977.0,English
302,Legend of the Guardians: The Owls of Ga'Hoole,7/10/2010,80000000.0,140073390.0,97.0,6.5,703.0,English
303,Catwoman,7/22/2004,100000000.0,82102379.0,104.0,4.2,808.0,English
304,Hercules,7/23/2014,100000000.0,243400000.0,99.0,5.6,1680.0,English
305,Treasure Planet,11/26/2002,140000000.0,109578115.0,95.0,7.2,948.0,English
306,Land of the Lost,6/5/2009,100000000.0,68688831.0,102.0,5.3,381.0,English
